,model,target,feature_set,R2_mean,R2_std,MAE_mean,MAE_std,RMSE_mean,RMSE_std
14,ElasticNet,J0,reduced,-0.051011711584536136,0.054634533480513656,0.4063387843856348,0.08300115915643938,0.5403862875591474,0.12978843393221753
15,ElasticNet,J45,biomech,-0.11551138758145588,0.1493094453322704,0.39376543042897094,0.07413540122006723,0.5355055066823268,0.1069830701427564
16,ElasticNet,J45,biomech_demo,-0.07911893586051191,0.12014083456369021,0.3856327693619243,0.0715676374807854,0.5267658661646195,0.10332240424715156
17,ElasticNet,J45,reduced,-0.08791151408263882,0.1141388950448278,0.38877995832362705,0.07127055934475045,0.5287200691594638,0.10129631584840572
18,RandomForest,Magnitude,biomech,-0.11618588063206428,0.15994317402851588,0.3642870698077469,0.04750732820812775,0.465425909762295,0.08335921587152618
19,RandomForest,Magnitude,biomech_demo,-0.1094081993267116,0.17849934264948214,0.3576424133131741,0.04772865838652511,0.46339696960684956,0.08150426474666736
20,RandomForest,Magnitude,reduced,-0.06458408819884026,0.19251884830043456,0.3489538195493203,0.051861759537721444,0.4536246712061656,0.08087653809270101
21,RandomForest,J0,biomech,-0.096903693447477,0.0898246884994593,0.42010055926315676,0.08108906357173393,0.5510559440680199,0.13055491124731874
22,RandomForest,J0,biomech_demo,0.0051672859941775725,0.1370053392092622,0.39382377957962245,0.07504326653784675,0.5245235029630679,0.12866561394521922
23,RandomForest,J0,reduced,-0.08505350971329613,0.12994180253378432,0.4076173270749495,0.08457868561900032,0.5499470634171146,0.1443767392078297
24,RandomForest,J45,biomech,-0.15373972063058475,0.1376344873930846,0.40361045022457276,0.07075658075294783,0.543344915616925,0.10030044182967941
25,RandomForest,J45,biomech_demo,-0.11151933015099068,0.12710981094034302,0.39413636091036314,0.07007706556912546,0.5336719792711352,0.09993989806667299
26,RandomForest,J45,reduced,-0.15168049154749189,0.1633932399173754,0.4044523859982908,0.06988886037635574,0.5427020467162491,0.10328526812373334
27,XGBoost,Magnitude,biomech,-0.21823371729298557,0.265377818803358,0.3831307034636902,0.043122387353302746,0.4805539947496024,0.06959401883707717
28,XGBoost,Magnitude,biomech_demo,-0.15996591410219319,0.26286497403533715,0.36930006764813567,0.0447056585568259,0.469453180723101,0.0724940682544083
29,XGBoost,Magnitude,reduced,-0.23195254876530894,0.3591900615486251,0.3783057140520443,0.07447595267470503,0.48328956037213694,0.09026217447267844
30,XGBoost,J0,biomech,-0.2611468671692914,0.26377105086210284,0.44356166116580925,0.0933271649925441,0.5952015144826248,0.18802960516000874
31,XGBoost,J0,biomech_demo,-0.20015349043297462,0.28426740904164155,0.42668754423054395,0.08362536560066317,0.5794623578097483,0.18460860135591325
32,XGBoost,J0,reduced,-0.2617635742024293,0.33244766431844835,0.433181037756749,0.07808691956503103,0.5824634302059079,0.138559372258361
33,XGBoost,J45,biomech,-0.37455942433300254,0.3637721560158326,0.4504937316383862,0.07026683173332535,0.5839576743761768,0.0934850019104202
34,XGBoost,J45,biomech_demo,-0.24397219229758121,0.263594044496323,0.4281742837166275,0.07761532432634659,0.5602825801299895,0.10124313436695188
35,XGBoost,J45,reduced,-0.371194844487074,0.3421160139948138,0.4450005176596708,0.08307889814953712,0.5878506588392219,0.11890605103460716
36,ElasticNet_multi,J0_joint,biomech_demo,-0.04679358817748612,0.054278716697984696,0.405601149477167,0.08305283528961066,,
37,ElasticNet_multi,J45_joint,biomech_demo,-0.10123177862918785,0.11219977232100253,0.3905328234561379,0.07318122541151675,,
38,RandomForest_multi,J0_joint,biomech_demo,-0.019796819737303552,0.25698095129134263,0.38899201111933274,0.0777369149209846,,
39,RandomForest_multi,J45_joint,biomech_demo,-0.20948606723461197,0.1801303265816856,0.4119279684675876,0.08016365130864436,,
40,Bu_Formula,Magnitude,Age+IR,-2.1022586616942847,0.6834340681566965,0.6284588511365272,0.09020321301648111,0.7673539790007665,0.11032776800035585
41,ElasticNet,Mag_OD,biomech_demo,-0.13915665813735395,0.3039306421152488,0.3421700337620042,0.060329840292237355,0.4784406393490101,0.11761571656541933
42,RandomForest,Mag_OD,biomech_demo,-0.32598116066375765,0.5126829408423007,0.37697313438089,0.06905407155153433,0.508702274863752,0.11793724630417828
43,ElasticNet,Mag_OS,biomech_demo,-0.10361649050285159,0.21421343353070946,0.3641151168101495,0.04996518498878254,0.45261887243519056,0.05840540979538204
44,RandomForest,Mag_OS,biomech_demo,-0.011023485882862474,0.15229875913008262,0.3542454235038573,0.03594933730758775,0.4332397073983076,0.0447716771910716
45,ElasticNet,Mag_young,biomech,-0.22950276809910497,0.2741650099602202,0.293558265820681,0.06784042931358998,0.37511533889270515,0.09093844126761418
46,ElasticNet,Mag_middle,biomech,-0.12306367891113262,0.194878108748694,0.34010541905583597,0.06865866803142699,0.4354625066521673,0.10454097460014324
47,ElasticNet,Mag_old,biomech,-0.15702941985538912,0.24940634763484773,0.42966047722624506,0.07405864541170674,0.5601879474326901,0.11439094162838105
